City_ID,city_name,Lat,Lon,wind,temp_max,humidity,country,date,cloud
0,Mayo,38.89,-76.51,3.36,35.01,71,US,1581231806,1
1,Grand Gaube,-20.01,57.66,11.41,82.99,65,MU,1581231806,40
2,Avarua,-21.21,-159.78,15.17,80.6,88,CK,1581231807,100
3,Shelburne,44.08,-80.2,6.93,16.0,72,CA,1581231623,75
4,Leningradskiy,69.38,178.42,22.1,-20.92,91,RU,1581231813,100
5,Deputatsky,69.3,139.9,1.99,-39.64,96,RU,1581231814,32
6,Thompson,55.74,-97.86,8.05,6.8,77,CA,1581231774,40
7,Rikitea,-23.12,-134.97,16.06,77.18,78,PF,1581231815,56
8,Rio Gallegos,-51.62,-69.22,20.8,57.2,54,AR,1581231816,0
9,George Town,5.41,100.34,9.17,89.6,59,MY,1581231817,20
10,Caravelas,-17.71,-39.25,12.3,80.02,78,BR,1581231818,68
11,Roald,62.58,6.13,19.46,44.6,86,NO,1581231820,75
12,Vostok,46.49,135.88,3.38,0.73,74,RU,1581231820,5
13,Lorengau,-2.02,147.27,18.84,82.96,76,PG,1581231821,95
14,Mataura,-46.19,168.86,8.99,54.0,86,NZ,1581231822,97
15,Ushuaia,-54.8,-68.3,9.17,51.8,76,AR,1581231661,0
16,Ilulissat,69.22,-51.1,3.36,8.6,71,GL,1581231825,75
17,Anloga,5.79,0.9,3.36,75.2,83,GH,1581231826,20
18,Dikson,73.51,80.55,7.0,-16.46,93,RU,1581231827,40
19,Ambon,-3.7,128.18,5.82,91.4,55,ID,1581231828,40
20,Batticaloa,7.71,81.69,7.16,83.21,58,LK,1581231829,2
21,Hobart,-42.88,147.33,13.87,69.01,42,AU,1581231609,40
22,Cherskiy,68.75,161.3,7.99,-23.64,75,RU,1581231831,77
23,Vaini,-21.2,-175.2,9.17,82.4,83,TO,1581231832,20
24,Butaritari,3.07,172.79,18.16,83.55,80,KI,1581231834,87
25,Tuatapere,-46.13,167.68,8.99,54.0,86,NZ,1581231836,39
26,Portland,45.52,-122.68,1.77,43.0,81,US,1581231572,75
27,Bulgan,48.81,103.53,4.59,30.52,64,MN,1581231838,45
28,Atuona,-9.8,-139.03,16.6,81.1,76,PF,1581231839,0
29,Bluff,-46.6,168.33,8.99,54.0,86,NZ,1581231841,92
30,Popondetta,-8.75,148.25,3.69,78.49,90,PG,1581231842,60
31,Belle Fourche,44.67,-103.85,6.93,26.01,100,US,1581231843,90
32,Iqaluit,63.75,-68.51,2.24,-23.01,74,CA,1581231844,75
33,Qaanaaq,77.48,-69.36,5.5,-17.5,65,GL,1581231845,0
34,Vardo,70.37,31.11,27.51,26.6,92,NO,1581231784,75
35,Jamestown,42.1,-79.24,4.7,26.01,100,US,1581231847,90
36,Busselton,-33.65,115.33,16.15,80.01,15,AU,1581231735,0
37,Danilovka,50.36,44.12,6.29,0.37,90,RU,1581231851,0
38,Constitucion,-35.33,-72.42,1.21,53.1,77,CL,1581231854,0
39,Kapaa,22.08,-159.32,19.46,71.6,56,US,1581231855,90
40,Hong Kong,22.29,114.16,10.29,66.99,63,HK,1581231674,40
41,Albany,42.6,-73.97,3.36,18.0,100,US,1581231856,75
42,Hay River,60.82,-115.8,4.7,1.4,84,CA,1581231625,75
43,Goderich,43.75,-81.72,8.79,21.0,84,CA,1581231858,23
44,Saint-Philippe,-21.36,55.77,26.4,82.4,65,RE,1581231859,20
45,Port Moresby,-9.44,147.18,17.22,87.8,66,PG,1581231861,40
46,Carnarvon,-24.87,113.63,19.46,84.2,62,AU,1581231862,0
47,Kumul,42.8,93.45,2.35,31.82,55,CN,1581231858,0
48,Wuxue,29.85,115.55,5.99,54.95,53,CN,1581231863,1
49,Leer,8.3,30.14,12.15,80.96,13,SS,1581231863,87
50,Colquechaca,-18.67,-66.02,5.53,48.83,93,BO,1581231864,99
51,Sioux Lookout,50.1,-91.92,3.36,6.8,77,CA,1581231865,90
52,San Patricio,19.22,-104.7,4.07,75.52,73,MX,1581231866,0
53,San Quintin,30.48,-115.95,11.99,39.0,11,MX,1581231866,43
54,Upernavik,72.79,-56.15,3.8,-20.31,94,GL,1581231866,100
55,Kalmunai,7.42,81.82,11.41,79.68,68,LK,1581231867,9
56,Punta Arenas,-53.15,-70.92,10.29,55.4,54,CL,1581231868,82
57,Touros,-5.2,-35.46,3.36,75.2,94,BR,1581231869,20
58,Kupang,-10.17,123.58,11.41,84.2,83,ID,1581231870,40
59,Fort Nelson,58.81,-122.7,6.93,17.6,92,CA,1581231601,90
60,Puro,12.48,123.38,17.72,81.81,74,PH,1581231872,50
61,Hambantota,6.12,81.12,8.05,87.8,58,LK,1581231877,27
62,Kefalos,36.75,26.96,18.34,37.4,64,GR,1581231878,20
63,Lodja,-3.48,23.43,3.83,69.78,96,CD,1581231879,100
64,Trincomalee,8.57,81.23,8.03,85.15,52,LK,1581231880,1
65,Nikolskoye,59.7,30.79,8.95,34.0,93,RU,1581231881,90
66,East London,-33.02,27.91,5.82,71.6,83,ZA,1581231879,20
67,Bredasdorp,-34.53,20.04,4.5,68.0,98,ZA,1581231884,34
